"time_iso","time_ms","time_s"," "," "," "," "," "," "," "," "," "," "
"2026-07-15T10:42:08.437Z","15198","15.198","-64.75","13.66","-176.8","28","-177","28","224.5","337.9","3","15.46"
"2026-07-15T10:42:08.501Z","15262","15.262","-67.6","16.96","0","0","0","0","222","341","3","14.32"
"2026-07-15T10:42:08.548Z","15309","15.309","-68.44","18.86","0","0","0","0","221.1","342.2","3","14.85"
"2026-07-15T10:42:08.622Z","15383","15.383","-39.46","-18.38","-263.5","-47","-264","-47","250","305","2","15.21"
"2026-07-15T10:42:08.679Z","15440","15.440","-42","-20.6","-252.3","-98.5","-252","-98","247.7","303.1","2","15.52"
"2026-07-15T10:42:08.734Z","15495","15.495","-39.92","-25.85","-172.1","-91.3","-172","-91","250","298.3","3","15.5"
"2026-07-15T10:42:08.844Z","15605","15.605","-37.57","-29.45","-94.1","-61.2","-94","-61","251.6","294.7","3","15.85"
"2026-07-15T10:42:08.920Z","15681","15.681","-35.08","-36.56","0","0","0","0","255","287.5","3","14.63"
"2026-07-15T10:42:08.974Z","15735","15.735","-34.91","-38.95","0","0","0","0","256.2","284.9","3","15.16"
"2026-07-15T10:42:09.035Z","15796","15.796","-34.68","-40.36","0","0","0","0","257.4","282.5","3","15.39"
"2026-07-15T10:42:09.083Z","15844","15.844","0","0","0","0","0","0","0","0","0","15.91"
"2026-07-15T10:42:09.151Z","15912","15.912","-71.65","-9.85","-425.1","-49","-378","-49","221.3","313.1","2","16.3"
"2026-07-15T10:42:09.273Z","16034","16.034","-76.12","-9.25","-490","-34.6","-490","-35","216.9","313.9","2","16.58"
"2026-07-15T10:42:09.335Z","16096","16.096","-86.71","-4.61","-260","-28","-260","-28","206.4","319.6","3","15.25"
"2026-07-15T10:42:09.376Z","16137","16.137","-73.91","-2.4","-487.8","0","-488","0","219.4","321","2","15.59"
"2026-07-15T10:42:09.451Z","16212","16.212","-73.2","-1.62","-260","0","-260","0","220.8","323.2","3","15.53"
"2026-07-15T10:42:09.507Z","16268","16.268","-42.16","-1.42","-254.3","0","-254","0","253.9","323.3","2","15.98"
"2026-07-15T10:42:09.570Z","16331","16.331","-31.21","0.27","-125","0","-125","0","265.9","324.7","3","15.89"
"2026-07-15T10:42:09.688Z","16449","16.449","-23.98","1.2","-53.6","0","-54","0","274.5","325.7","3","16.23"
"2026-07-15T10:42:09.753Z","16514","16.514","7.8","2.98","0","0","0","0","307.7","327.6","2","15.01"
"2026-07-15T10:42:09.807Z","16568","16.568","18.16","3.57","51.2","0","51","0","319.4","328.5","3","15.34"
"2026-07-15T10:42:09.867Z","16628","16.628","28.47","4.56","97","0","97","0","330.1","329.3","3","15.46"
"2026-07-15T10:42:09.912Z","16673","16.673","36.09","5.37","0","0","0","0","337.8","329.9","3","16.03"
"2026-07-15T10:42:10.056Z","16817","16.817","44.58","5.48","0","0","0","0","346.5","330.5","3","15.83"
"2026-07-15T10:42:10.118Z","16879","16.879","58.38","6.87","0","0","0","0","360.3","331.6","3","14.67"
"2026-07-15T10:42:10.170Z","16931","16.931","-1.19","1.63","32","0","32","0","300.6","326.4","2","15.1"
"2026-07-15T10:42:10.233Z","16994","16.994","-6.12","1.3","0","0","0","0","295.5","325.9","3","15.26"
"2026-07-15T10:42:10.288Z","17049","17.049","-10.04","1.08","-32","0","-32","0","291.7","325.5","3","15.7"
"2026-07-15T10:42:10.352Z","17113","17.113","-4.96","1.16","-32","0","-32","0","296.7","326","2","15.84"
"2026-07-15T10:42:10.479Z","17240","17.240","-3.66","1.94","-32","0","-32","0","298.1","326.6","2","15.88"
"2026-07-15T10:42:10.538Z","17299","17.299","-3.49","3.59","-32","0","-32","0","298.9","328.6","2","14.63"
"2026-07-15T10:42:10.592Z","17353","17.353","-4.79","3.48","-32","0","-32","0","297.6","328.3","2","15.07"
"2026-07-15T10:42:10.669Z","17430","17.430","-6.4","2.41","-32","0","-32","0","296.1","327.4","2","15.23"
"2026-07-15T10:42:10.722Z","17483","17.483","-5.8","2.27","-32","0","-32","0","296.9","327.2","2","15.48"
"2026-07-15T10:42:10.860Z","17621","17.621","-6.53","2.01","-32","0","-32","0","296.8","327","3","15.58"
"2026-07-15T10:42:10.903Z","17664","17.664","-7","1.48","-32.7","0","-33","0","296.9","326.2","2","14.42"
"2026-07-15T10:42:10.965Z","17726","17.726","-7.48","0.99","-32","0","-32","0","296.9","326","3","14.98"
"2026-07-15T10:42:11.018Z","17779","17.779","-8.36","1.07","-32","0","-32","0","296.9","325.7","3","15.11"
"2026-07-15T10:42:11.086Z","17847","17.847","-8.46","0.85","0","0","0","0","296.9","325.5","3","15.35"
"2026-07-15T10:42:11.202Z","17963","17.963","-8.59","0.63","0","0","0","0","296.9","325.3","3","15.55"
"2026-07-15T10:42:11.274Z","18035","18.035","-8.83","-0.12","0","0","0","0","296.9","324.9","3","14.42"
